snapshot,selector,selected_candidate,selected_physical_distance_m,selected_success,selection_regret_m,success_gap,spearman_physical,top10pct_recall_physical,false_elite_rate_physical
21,true_dataset_goal,265,0.003439250328514429,1.0,0.0006312296223459899,0.0,0.5306352292803252,0.4666666666666667,0.13333333333333333
21,true_rendered_goal,265,0.003439250328514429,1.0,0.0006312296223459899,0.0,0.5300378893098812,0.4666666666666667,0.13333333333333333
22,learned_predicted_goal,0,0.016368660713256426,1.0,0.0020528679420894792,0.0,0.05635529283658707,0.1,0.4
22,true_dataset_goal,83,0.015115007095711955,1.0,0.0007992143245450084,0.0,0.3171995244391604,0.13333333333333333,0.3333333333333333
22,true_rendered_goal,83,0.015115007095711955,1.0,0.0007992143245450084,0.0,0.31424082489805444,0.13333333333333333,0.3333333333333333
23,learned_predicted_goal,297,0.03803327921260395,1.0,0.030027719432693892,0.0,0.0030822564695163275,0.1,0.5333333333333333
23,true_dataset_goal,131,0.045855387424476125,0.0,0.03784982764456607,1.0,0.41901576684185377,0.26666666666666666,0.3
23,true_rendered_goal,131,0.045855387424476125,0.0,0.03784982764456607,1.0,0.42005444504938944,0.26666666666666666,0.3
24,learned_predicted_goal,0,0.03730504110035876,1.0,0.018592765179654566,0.0,0.048789430993677704,0.16666666666666666,0.5
24,true_dataset_goal,102,0.019114178511963203,1.0,0.0004019025912590096,0.0,0.42426249180546444,0.4666666666666667,0.16666666666666666
24,true_rendered_goal,102,0.019114178511963203,1.0,0.0004019025912590096,0.0,0.42272514139045986,0.4666666666666667,0.16666666666666666
25,learned_predicted_goal,0,0.03898700439849849,1.0,0.03414503213038045,0.0,0.013404148934988164,0.1,0.36666666666666664
25,true_dataset_goal,86,0.024065243872327988,1.0,0.019223271604209946,0.0,0.8343319370215223,0.6666666666666666,0.0
25,true_rendered_goal,86,0.024065243872327988,1.0,0.019223271604209946,0.0,0.8346483849820553,0.6666666666666666,0.0
26,learned_predicted_goal,178,1.9648904290461352e-15,1.0,0.0,0.0,nan,0.1,0.0
26,true_dataset_goal,234,1.9648904290461352e-15,1.0,0.0,0.0,nan,0.1,0.0
26,true_rendered_goal,234,1.9648904290461352e-15,1.0,0.0,0.0,nan,0.1,0.0
27,learned_predicted_goal,24,0.30182622345557597,0.0,0.00306418405064679,0.0,0.04131013149203437,0.03333333333333333,0.16666666666666666
27,true_dataset_goal,153,0.3032717166084696,0.0,0.0045096772035403965,0.0,0.004577875056739846,0.1,0.26666666666666666
27,true_rendered_goal,153,0.3032717166084696,0.0,0.0045096772035403965,0.0,0.004211546178009368,0.1,0.26666666666666666
28,learned_predicted_goal,0,0.11781468021940776,0.0,0.09655654252985577,1.0,0.02713185702063356,0.1,0.5666666666666667
28,true_dataset_goal,57,0.030387647645128333,1.0,0.009129509955576334,0.0,0.6148068311870132,1.0,0.0
28,true_rendered_goal,57,0.030387647645128333,1.0,0.009129509955576334,0.0,0.6152317247969422,1.0,0.0
29,learned_predicted_goal,0,0.2276513853138961,0.0,0.20843463148171146,1.0,0.1156742213594077,0.13333333333333333,0.4666666666666667
29,true_dataset_goal,114,0.03405771741693857,1.0,0.014840963584753945,0.0,0.8969251864819645,0.23333333333333334,0.0
29,true_rendered_goal,114,0.03405771741693857,1.0,0.014840963584753945,0.0,0.8976959298972148,0.23333333333333334,0.0
30,learned_predicted_goal,256,0.1933976938462197,0.0,0.11796344710441066,0.0,-0.0765688507650085,0.1,0.4666666666666667
30,true_dataset_goal,220,0.18421557044929773,0.0,0.1087813237074887,0.0,0.6603028922543583,0.0,0.06666666666666667
30,true_rendered_goal,220,0.18421557044929773,0.0,0.1087813237074887,0.0,0.6617006855631729,0.0,0.06666666666666667
31,learned_predicted_goal,78,0.027108696929032325,1.0,0.022588937422797925,0.0,0.03653062811809019,0.23333333333333334,0.3333333333333333
31,true_dataset_goal,286,0.02502666075993384,1.0,0.02050690125369944,0.0,0.05863220702452249,0.0,0.6666666666666666
31,true_rendered_goal,286,0.02502666075993384,1.0,0.02050690125369944,0.0,0.06200024444716053,0.0,0.6666666666666666
