snapshot,arm,anchor_physical_distance_m,anchor_success,inversion_hit,best_corrective_advantage_m,best_any_advantage_m,any_success_gain,selected_success_any,best_selected_distance_m,proxy_rejected_fraction,mean_proxy_rank_fraction,mean_action_distance_from_anchor
25,proxy_rejected_stratified_diverse,0.20126531000306036,0,1.0,0.03677506563515234,0.03677506563515234,0.0,0.0,0.16449024436790802,1.0,0.5096153846153846,8.185169627402928
25,random_final_population,0.20126531000306036,0,0.0,0.0,0.001950783217121721,0.0,0.0,0.19931452678593864,1.0,0.3432274247491639,5.969297216351553
26,action_diverse,0.21828264751319348,0,0.0,0.0,0.0,0.0,0.0,0.21828264751319348,1.0,0.600752508361204,5.134263673306036
26,proxy_hard,0.21828264751319348,0,0.0,0.0,0.0,0.0,0.0,0.21828264751319348,1.0,0.9882943143812709,4.088544336622567
26,proxy_rejected_stratified_diverse,0.21828264751319348,0,0.0,0.0,0.0,0.0,0.0,0.21828264751319348,1.0,0.5091973244147157,5.410660273888169
26,random_final_population,0.21828264751319348,0,0.0,0.0,0.0,0.0,0.0,0.21828264751319348,1.0,0.49414715719063546,4.127518705613118
27,action_diverse,0.03719225321838281,1,0.0,0.0,0.01382392582027886,0.0,1.0,0.023368327398103954,1.0,0.6367056856187291,7.329748810039236
27,proxy_hard,0.03719225321838281,1,1.0,0.022215598296796868,0.022215598296796868,0.0,1.0,0.014976654921585947,1.0,0.9882943143812709,5.871110932039869
27,proxy_rejected_stratified_diverse,0.03719225321838281,1,0.0,0.0,0.013215703078970398,0.0,1.0,0.023976550139412415,1.0,0.5071070234113713,7.815761373795183
27,random_final_population,0.03719225321838281,1,0.0,0.0,0.01738351161794301,0.0,1.0,0.019808741600439803,1.0,0.5489130434782609,5.521066358789561
28,action_diverse,0.01906968044159148,1,0.0,0.0,0.009550267321416535,0.0,1.0,0.009519413120174946,1.0,0.5660535117056856,5.5926618997410245
28,proxy_hard,0.01906968044159148,1,0.0,0.0,0.004012448512687316,0.0,1.0,0.015057231928904164,1.0,0.9882943143812709,4.25540919072153
28,proxy_rejected_stratified_diverse,0.01906968044159148,1,0.0,0.0,0.0,0.0,1.0,0.019999666064411517,1.0,0.4974916387959866,6.0774211906764215
28,random_final_population,0.01906968044159148,1,0.0,0.0,0.0,0.0,1.0,0.026404984430250047,1.0,0.44314381270903014,4.525454455432575
29,action_diverse,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7683946488294315,4.712028797716089
29,proxy_hard,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9882943143812709,4.279821918514975
29,proxy_rejected_stratified_diverse,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5204849498327759,4.89547890813866
29,random_final_population,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3457357859531772,3.9050689154309253
30,action_diverse,0.009404411357707667,1,0.0,0.0,0.0,0.0,1.0,0.009404411357707667,1.0,0.7487458193979932,7.094768999071747
30,proxy_hard,0.009404411357707667,1,0.0,0.0,0.0,0.0,1.0,0.009404411357707667,1.0,0.9882943143812709,5.4851138568159765
30,proxy_rejected_stratified_diverse,0.009404411357707667,1,0.0,0.0,0.0,0.0,1.0,0.009404411357707667,1.0,0.5234113712374582,7.953129827594749
30,random_final_population,0.009404411357707667,1,0.0,0.0,0.0,0.0,1.0,0.009404411357707667,1.0,0.4331103678929766,5.197656786754911
31,action_diverse,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4607023411371237,4.777716220545041
31,proxy_hard,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9882943143812709,4.0304779038039635
31,proxy_rejected_stratified_diverse,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4945652173913043,4.902884239922976
31,random_final_population,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4122073578595318,3.828631453645898
32,action_diverse,0.19701826236800196,0,1.0,0.17515162339736248,0.17515162339736248,1.0,1.0,0.02186663897063947,1.0,0.3474080267558528,5.537841314234857
32,proxy_hard,0.19701826236800196,0,1.0,0.17305925111252474,0.17305925111252474,1.0,1.0,0.02395901125547724,1.0,0.9882943143812709,4.709900922409278
