snapshot,candidate,source,label,learned_proxy_cost,physical_distance_m,physical_regret_m,proxy_rank_fraction,physical_rank_fraction,success,executed_steps
30,119,cem_initial,candidate,373.7840576171875,0.2313562821275878,0.1948206211992444,0.8981636060100167,0.6510851419031719,0,25
30,120,cem_initial,candidate,371.9920654296875,0.19611650765418512,0.15958084672584172,0.8797996661101837,0.5141903171953256,0,25
30,121,cem_initial,candidate,388.3927001953125,0.156776549245719,0.12024088831737559,0.9816360601001669,0.2871452420701169,0,25
30,122,cem_initial,candidate,357.13092041015625,0.08798297395437475,0.051447313026031345,0.7495826377295493,0.035058430717863104,0,25
30,123,cem_initial,candidate,372.4403076171875,0.12331114151624782,0.08677548058790441,0.8848080133555927,0.10350584307178631,0,25
30,124,cem_initial,candidate,287.57977294921875,0.1540688110786931,0.11753315015034971,0.5008347245409015,0.27378964941569284,0,25
30,125,cem_initial,candidate,359.8116760253906,0.23452561246248144,0.19798995153413804,0.7863105175292153,0.669449081803005,0,25
30,126,cem_initial,candidate,376.68841552734375,0.09996288725620756,0.06342722632786416,0.9181969949916527,0.05843071786310518,0,25
30,127,cem_initial,candidate,389.310302734375,0.10820017686028785,0.07166451593194445,0.989983305509182,0.06343906510851419,0,25
30,128,cem_initial,candidate,386.08740234375,0.09013532420016018,0.053599663271816776,0.9632721202003339,0.041736227045075125,0,25
30,129,cem_initial,candidate,363.4826354980469,0.3004872154757076,0.2639515545473642,0.8230383973288815,0.8747913188647746,0,25
30,130,cem_initial,candidate,334.5325927734375,0.17730876254552108,0.14077310161717768,0.5809682804674458,0.42070116861435725,0,25
30,131,cem_initial,candidate,321.557861328125,0.2143607982344935,0.1778251373061501,0.5242070116861436,0.5859766277128547,0,25
30,132,cem_initial,candidate,344.11407470703125,0.22348205934213292,0.18694639841378952,0.6427378964941569,0.6227045075125208,0,25
30,133,cem_initial,candidate,303.7698974609375,0.19474183597281827,0.15820617504447487,0.5058430717863105,0.5075125208681135,0,25
30,134,cem_initial,candidate,388.662841796875,0.1547117519656211,0.11817609103727769,0.9849749582637729,0.27879799666110183,0,25
30,135,cem_initial,candidate,374.56280517578125,0.1653161663739043,0.1287805054455609,0.9048414023372288,0.34891485809682804,0,25
30,136,cem_initial,candidate,368.96600341796875,0.08813989011971202,0.05160422919136861,0.8514190317195326,0.03672787979966611,0,25
30,137,cem_initial,candidate,369.1925354003906,0.18096406889161587,0.14442840796327247,0.8530884808013356,0.44240400667779634,0,25
30,138,cem_initial,candidate,376.8423156738281,0.2801818808826208,0.2436462199542774,0.9232053422370617,0.8163606010016694,0,25
30,139,cem_initial,candidate,378.62066650390625,0.306107700396574,0.26957203946823055,0.9332220367278798,0.8898163606010017,0,25
30,140,cem_initial,candidate,358.06781005859375,0.06934256846387392,0.03280690753553051,0.7646076794657763,0.02671118530884808,0,25
30,141,cem_initial,candidate,376.7771301269531,0.1184749288038856,0.0819392678755422,0.9198664440734557,0.09515859766277128,0,25
30,142,cem_initial,candidate,332.0041809082031,0.1578266848396139,0.1212910239112705,0.5709515859766278,0.2921535893155259,0,25
30,143,cem_initial,candidate,326.3983154296875,0.13787914135440463,0.10134348042606123,0.5392320534223706,0.17195325542570952,0,25
30,144,cem_initial,physical_positive,375.4268493652344,0.03653566092834341,0.0,0.9115191986644408,0.0,1,15
30,145,cem_initial,candidate,306.85626220703125,0.08932402172168244,0.05278836079333903,0.5091819699499165,0.04006677796327212,0,25
30,146,cem_initial,candidate,330.77899169921875,0.14166504404737476,0.10512938311903136,0.5642737896494157,0.19031719532554256,0,25
30,147,cem_initial,candidate,360.561767578125,0.114341428351803,0.0778057674234596,0.7946577629382304,0.08013355592654424,0,25
30,148,cem_initial,candidate,350.947998046875,0.14420219538381518,0.10766653445547178,0.6878130217028381,0.20701168614357263,0,25
30,149,cem_initial,candidate,356.8182373046875,0.17500721626067486,0.13847155533233146,0.7429048414023373,0.4040066777963272,0,25
30,150,cem_initial,candidate,396.86309814453125,0.15394729986884698,0.11741163894050358,0.996661101836394,0.2687813021702838,0,25
30,151,cem_initial,candidate,361.16583251953125,0.222014343846625,0.1854786829182816,0.8013355592654424,0.6126878130217028,0,25
30,152,cem_initial,candidate,324.12738037109375,0.17788669643693963,0.14135103550859623,0.5325542570951586,0.4273789649415693,0,25
30,153,cem_initial,candidate,375.16473388671875,0.16602306091702226,0.12948739998867886,0.9098497495826378,0.3572621035058431,0,25
30,154,cem_initial,candidate,372.96539306640625,0.11361107637910824,0.07707541545076482,0.8931552587646077,0.07679465776293823,0,25
30,155,cem_initial,candidate,381.90850830078125,0.2115331879947633,0.1749975270664199,0.9482470784641068,0.5692821368948247,0,25
30,156,cem_initial,candidate,357.71417236328125,0.19467417823087382,0.15813851730253042,0.7562604340567612,0.5058430717863105,0,25
