snapshot,budget,start_distance_m,nominal_support_success,terminal_success,event_success,terminal_final_distance_m,event_final_distance_m,terminal_final_stage,event_final_stage
55,32,0.2790104625481906,1,1,1,0.020361417041740312,0.020361417041740312,5,5
56,32,0.17297203651813042,1,1,1,0.021436620762131795,0.016892865528683167,5,5
57,32,0.16337545251443267,1,1,1,0.026193059361867287,0.009034762069464321,5,5
58,32,0.31004724428102365,1,1,1,0.025022062898977925,0.03403091433913096,5,5
59,32,0.22852621099166234,1,1,1,0.016130456074139064,0.016130456074139064,5,5
60,32,0.20510259184670768,1,1,1,0.020954946964223894,0.021005879433532937,5,5
61,32,0.19605156966747156,1,1,1,0.02040233240886181,0.014720083282379764,5,5
62,32,0.3061750859748259,1,1,1,0.017149094189509075,0.017149094189509075,5,5
63,32,0.29959015052880283,1,1,1,0.034465012422884134,0.03408497806091565,5,5
64,32,0.08373611093426135,1,1,1,0.024706781057142913,0.024706781057142913,5,5
1,64,0.1917106049261549,1,1,1,0.014558119999601944,0.01982737794653886,5,5
2,64,0.26701020854311214,1,1,1,0.03230403253519977,0.03230403253519977,5,5
3,64,0.12202146639335357,1,1,1,0.015556091075475627,0.015556091075475627,5,5
4,64,0.283265956944221,1,1,1,0.01580035318776128,0.01580035318776128,5,5
5,64,0.14807390397759074,1,1,1,0.01796013380424694,0.01796013380424694,5,5
6,64,0.12846339048266328,1,1,1,0.03226823564314086,0.03988643085211834,5,5
7,64,0.13742206297340392,1,1,1,0.033749123314136625,0.033749123314136625,5,5
8,64,0.3314612668898685,1,1,1,0.03594186927695118,0.03594186927695118,5,5
9,64,0.22015042664774964,1,1,1,0.02675158870744957,0.01264199832052494,5,5
10,64,0.264324594247964,1,1,1,0.03585067175021388,0.024532545853952942,5,5
11,64,0.33096736857069503,1,1,1,0.013965804672715524,0.01680831386219188,5,5
12,64,0.184663496658143,1,1,1,0.03845232378712733,0.026833183695862878,5,5
13,64,0.2593175189634804,1,1,1,0.022160429365979444,0.020667712135087238,5,5
14,64,0.18860668017569868,1,1,1,0.024054735892403672,0.017351881737939827,5,5
15,64,0.1845868209274934,1,1,1,0.03207040004170958,0.025678529055986266,5,5
16,64,0.28120264045171484,1,1,1,0.027303503042801134,0.01465905197105897,5,5
17,64,0.17946741012891024,1,1,1,0.009093726392394011,0.026350464851779443,5,5
18,64,0.14049092449580516,1,1,1,0.010947429604835801,0.023241442945345213,5,5
19,64,0.1952738954696596,1,1,1,0.03079093067727543,0.007900789118260977,5,5
20,64,0.19655936532078017,1,1,1,0.013626294123841773,0.020445635748530658,5,5
21,64,0.19965531707399134,1,1,1,0.017767528292132323,0.017767528292132323,5,5
22,64,0.22734463518499592,1,1,1,0.029521965072068956,0.03394948742669186,5,5
23,64,0.18495769113850521,1,1,1,0.017294439357255945,0.011712562845356026,5,5
24,64,0.2089557900647726,1,1,1,0.02889261466273874,0.02889261466273874,5,5
25,64,0.16482744824391166,1,1,1,0.03154771580410226,0.03154771580410226,5,5
26,64,0.09676026213781098,1,1,1,0.01633208371326664,0.03003703827810376,5,5
27,64,0.14365807855482193,1,1,1,0.02226076715878202,0.034357436198149155,5,5
28,64,0.09362200530573357,1,1,1,0.03197728872980826,0.01882493541064451,5,5
29,64,0.23270436834579666,1,1,1,0.020930509106229452,0.020930509106229452,5,5
30,64,0.28892070788529844,1,1,1,0.03210656818895989,0.027594684729621424,5,5
31,64,0.14684589910462859,1,1,1,0.017738459441399925,0.0028237078360783463,5,5
32,64,0.1302225960494281,1,1,1,0.02221521550100637,0.031413929369166885,5,5
33,64,0.16461269942469695,1,1,1,0.039730968911292824,0.03850464640256537,5,5
34,64,0.1775154812547883,1,1,1,0.028664004710203767,0.028664004710203767,5,5
35,64,0.10349977284305495,1,1,1,0.012810604991418402,0.016631876477751956,5,5
36,64,0.3229063649783822,1,1,1,0.01794672761664565,0.007654856054598672,5,5
37,64,0.17460550519132523,1,1,1,0.03163146780762787,0.010715760318163596,5,5
38,64,0.21349351542868203,1,1,1,0.01776865410138108,0.01719320460624464,5,5
39,64,0.16856402138478876,1,1,1,0.00942426841373684,0.010220688280879459,5,5
40,64,0.20919364370029375,1,1,1,0.01928675085462394,0.019086534004376775,5,5
41,64,0.20383009811066755,1,1,1,0.03937315825650923,0.03937315825650923,5,5
42,64,0.2311040091272266,1,1,1,0.008329630282305885,0.008329630282305885,5,5
43,64,0.2235626247206218,1,1,1,0.035219116739677946,0.03123947521952162,5,5
44,64,0.28200590132924663,1,1,1,0.01330052973616992,0.025249827048779757,5,5
45,64,0.14655909568806888,1,1,1,0.02137329126485846,0.03599498117896459,5,5
46,64,0.17113198744503832,1,1,1,0.03839654037180667,0.038584299042725013,5,5
47,64,0.3137582430429397,1,1,1,0.01753795869252687,0.013834730925523524,5,5
48,64,0.19898209055746022,1,1,1,0.02685029804309016,0.027735891491542434,5,5
