snapshot,arm,anchor_physical_distance_m,anchor_success,inversion_hit,best_corrective_advantage_m,best_any_advantage_m,any_success_gain,selected_success_any,best_selected_distance_m,proxy_rejected_fraction,mean_proxy_rank_fraction,mean_action_distance_from_anchor,mean_proxy_instability,mean_cem_disagreement
40,cem_disagreement_diverse,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8854515050167224,4.453627360549839,0.19027860062134588,0.4761705685618729
40,proxy_instability_diverse,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4005016722408027,4.674193760263685,0.3316961314098217,-0.22951505016722407
40,random_final_population,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5054347826086956,3.911789057419434,0.15751608385964672,-0.06312709030100336
41,action_diverse,0.21588178636435607,0,1.0,0.1202587739504496,0.1202587739504496,0.0,0.0,0.09562301241390647,1.0,0.600334448160535,7.036775048649321,0.03696770948153166,0.015050167224080258
41,cem_disagreement_diverse,0.21588178636435607,0,0.0,0.0,0.00971649394053678,0.0,0.0,0.20616529242381929,1.0,0.8377926421404682,6.264460315039344,0.03281695666240013,0.3795986622073579
41,proxy_instability_diverse,0.21588178636435607,0,1.0,0.05641210579839173,0.05641210579839173,0.0,0.0,0.15946968056596433,1.0,0.5317725752508361,6.866480399794041,0.05855895898136929,-0.10953177257525082
41,random_final_population,0.21588178636435607,0,1.0,0.14354259168088299,0.14354259168088299,0.0,0.0,0.07233919468347308,0.875,0.40384615384615385,5.619152574566739,0.030766268294726506,-0.17725752508361203
42,action_diverse,0.15004370993287555,0,1.0,0.0997092434304716,0.0997092434304716,0.0,0.0,0.05033446650240394,1.0,0.6233277591973244,5.555905570632775,0.007519264004805158,-0.25668896321070234
42,cem_disagreement_diverse,0.15004370993287555,0,1.0,0.09373966003190604,0.09373966003190604,0.0,0.0,0.056304049900969516,1.0,0.81061872909699,4.997667699080497,0.008028986298442755,0.43645484949832775
42,proxy_instability_diverse,0.15004370993287555,0,1.0,0.07634890252362599,0.07634890252362599,0.0,0.0,0.07369480740924957,1.0,0.81438127090301,5.085834026471216,0.010946542550821317,0.0346989966555184
42,random_final_population,0.15004370993287555,0,1.0,0.048174077086297756,0.048174077086297756,0.0,0.0,0.1018696328465778,1.0,0.5179765886287626,4.534239199953604,0.0058342779242531355,-0.05142140468227425
43,action_diverse,0.017183317676276882,1,0.0,0.0,0.0033097833994068845,0.0,1.0,0.013873534276869997,1.0,0.3967391304347826,5.971156467772513,0.24356812335307199,-0.28846153846153844
43,cem_disagreement_diverse,0.017183317676276882,1,0.0,0.0,0.0055945166676805,0.0,1.0,0.011588801008596382,1.0,0.7838628762541806,5.50033560504956,0.1727459469829094,0.37834448160535117
43,proxy_instability_diverse,0.017183317676276882,1,0.0,0.0,0.0028427131000525897,0.0,1.0,0.014340604576224292,1.0,0.4527591973244147,5.623598541491416,0.36720265737605173,-0.07357859531772576
43,random_final_population,0.017183317676276882,1,0.0,0.0,0.0027153731547147394,0.0,1.0,0.014467944521562142,1.0,0.33988294314381273,4.877047751707796,0.31033765139420333,-0.06229096989966555
44,action_diverse,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5016722408026756,4.723837831843312,0.18287029125932686,-0.14381270903010035
44,cem_disagreement_diverse,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8720735785953178,4.113698205460977,0.14846681246734705,0.4009197324414715
44,proxy_instability_diverse,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4548494983277592,4.566669400361221,0.3261827352546074,-0.20108695652173916
44,random_final_population,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4460702341137124,3.858995352222984,0.13382351617966926,-0.05894648829431437
45,action_diverse,0.21067262878536078,0,1.0,0.17209914818609223,0.17209914818609223,1.0,1.0,0.03857348059926856,1.0,0.5911371237458194,6.807306199478647,0.21784666993812177,-0.19021739130434784
45,cem_disagreement_diverse,0.21067262878536078,0,1.0,0.1744848144288071,0.1744848144288071,1.0,1.0,0.036187814356553695,1.0,0.8273411371237458,6.105021874225789,0.17050587649790128,0.37583612040133785
45,proxy_instability_diverse,0.21067262878536078,0,0.0,0.0,0.001943487789552889,0.0,0.0,0.2087291409958079,1.0,0.3181438127090301,6.374813751827168,0.3596915950907652,-0.34824414715719065
45,random_final_population,0.21067262878536078,0,1.0,0.1744848144288071,0.1744848144288071,1.0,1.0,0.036187814356553695,0.875,0.5948996655518395,5.3979134337001415,0.26583006551203825,0.05769230769230769
46,action_diverse,0.028644479434335225,1,0.0,0.0,0.0,0.0,0.0,0.04511161936551941,1.0,0.4469063545150502,8.032713853806744,0.2728223384030049,-0.270066889632107
46,cem_disagreement_diverse,0.028644479434335225,1,0.0,0.0,0.0,0.0,1.0,0.036577703932244514,1.0,0.7274247491638797,6.784029775565157,0.1526604984260836,0.4506688963210702
46,proxy_instability_diverse,0.028644479434335225,1,0.0,0.0,0.0,0.0,1.0,0.03591245379134775,1.0,0.2270066889632107,7.4433416362055524,0.4608353394874543,-0.41178929765886285
46,random_final_population,0.028644479434335225,1,0.0,0.0,0.0,0.0,0.0,0.10018947837333081,1.0,0.5455685618729097,5.307861830039249,0.24072363063236943,0.08444816053511704
47,action_diverse,0.016943676551279457,1,0.0,0.0,0.0,0.0,1.0,0.016943676551279457,1.0,0.5819397993311037,7.304266069281814,0.1993540614301065,0.011287625418060193
47,cem_disagreement_diverse,0.016943676551279457,1,0.0,0.0,0.0,0.0,1.0,0.016943676551279457,1.0,0.81061872909699,6.238834132576558,0.18098249032380298,0.4051003344481605
47,proxy_instability_diverse,0.016943676551279457,1,0.0,0.0,0.0,0.0,1.0,0.016943676551279457,1.0,0.31354515050167225,6.761312430001788,0.31740304115934137,-0.26881270903010035
47,random_final_population,0.016943676551279457,1,0.0,0.0,0.0,0.0,1.0,0.016943676551279457,1.0,0.47282608695652173,5.662834872916895,0.18809778176138825,-0.14882943143812707
48,action_diverse,0.09445005459299706,0,0.0,0.0,0.0,0.0,0.0,0.09445005459299706,1.0,0.367056856187291,6.096125358851304,0.2748042247473609,-0.2654682274247492
48,cem_disagreement_diverse,0.09445005459299706,0,0.0,0.0,0.0,0.0,0.0,0.09445005459299706,1.0,0.8127090301003345,5.677251338682338,0.12056579030625807,0.4866220735785953
48,proxy_instability_diverse,0.09445005459299706,0,0.0,0.0,0.0,0.0,0.0,0.09445005459299706,1.0,0.3415551839464883,5.862731806080012,0.33860637206044286,-0.11287625418060204
48,random_final_population,0.09445005459299706,0,0.0,0.0,0.0,0.0,0.0,0.09445005459299706,1.0,0.6187290969899666,4.854791693133926,0.21744205218880971,0.10827759197324416
49,action_diverse,0.06736303589297565,0,1.0,0.030128514912159038,0.030128514912159038,1.0,1.0,0.037234520980816616,1.0,0.6877090301003344,4.698634877257197,0.18209619450447534,-0.033862876254180635
49,cem_disagreement_diverse,0.06736303589297565,0,1.0,0.03140751658150356,0.03140751658150356,1.0,1.0,0.035955519311472096,1.0,0.7913879598662208,4.3719291152250515,0.20274172856207942,0.3536789297658863
49,proxy_instability_diverse,0.06736303589297565,0,1.0,0.03350738218490205,0.03350738218490205,1.0,1.0,0.033855653708073606,1.0,0.19063545150501673,4.538069775800204,0.3606918902916281,-0.3210702341137124
49,random_final_population,0.06736303589297565,0,1.0,0.02965028161650251,0.02965028161650251,1.0,1.0,0.037712754276473144,1.0,0.5572742474916389,3.8922597722195924,0.19829144031896714,0.07023411371237459
50,action_diverse,5.413137880891017e-12,1,0.0,0.0,0.0,0.0,1.0,5.413137880891017e-12,1.0,0.5664715719063544,5.26544790039437,0.1742060564579721,-0.2675585284280937
