dataset,task,model,regime,n_transitions,n_boundary,boundary_threshold,mean_boundary_score,bb,bb_lo,bb_hi,bb_boundary,bb_boundary_lo,bb_boundary_hi,status,s_z,s_g,beta
metaworld,mw-door-open,dino_wm_metaworld+metric_obj,pre_grasp,263,220,0.004691420355811715,0.006454816088080406,1.659630453534034,1.3890385031986314,1.9145248322857829,1.8730242095958705,1.5863632771279266,2.1469338175919535,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-drawer-close,dino_wm_metaworld+metric_obj,contact_manipulation,187,41,0.004691420355811715,0.004239147063344717,0.37816674007742423,0.34778027399242784,0.408025653098886,0.7132754203856815,0.641484389615373,0.7820293683851925,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-drawer-close,dino_wm_metaworld+metric_obj,pre_grasp,904,263,0.004691420355811715,0.003906370140612125,0.8119893323722606,0.6890603535577896,0.924508921600209,1.4099680762941642,1.3070120586732101,1.4868292754247239,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-hammer,dino_wm_metaworld+metric_obj,contact_manipulation,513,11,0.004691420355811715,0.0034999572671949863,0.022648048227372482,0.016092765658420546,0.030424003724422815,0.027636852505495312,0.0,0.06702179693823566,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-hammer,dino_wm_metaworld+metric_obj,free_space,164,0,0.004691420355811715,0.003350792219862342,0.15168366788015497,0.10911856006289407,0.20537572949921892,,,,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-hammer,dino_wm_metaworld+metric_obj,pre_grasp,463,19,0.004691420355811715,0.004012980032712221,0.10860398979203031,0.08669938796458221,0.13029388886406734,0.13262341573104078,0.05257954369214859,0.21398991083543806,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-peg-insert-side,dino_wm_metaworld+metric_obj,contact_manipulation,355,16,0.004691420355811715,0.003835839219391346,0.0421274203120759,0.026278248232298657,0.0610234008646746,0.10390412317838787,0.0,0.23703406603912558,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-peg-insert-side,dino_wm_metaworld+metric_obj,free_space,341,18,0.004691420355811715,0.0037420534063130617,0.020621088907642866,0.011002630902581731,0.0307049091641388,0.14577909124328003,0.056704460029819354,0.20744432332910884,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-peg-insert-side,dino_wm_metaworld+metric_obj,pre_grasp,444,40,0.004691420355811715,0.004000204615294933,0.11933916370973345,0.0797564657980707,0.16385672191023656,0.31358256120805733,0.18330305539274733,0.43985907128164636,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-pick-place,dino_wm_metaworld+metric_obj,contact_manipulation,381,101,0.004691420355811715,0.003926449455320835,0.1475475031483442,0.11298357019164482,0.18684066217951012,0.38621363697826727,0.32028846964455315,0.45034402517685596,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-pick-place,dino_wm_metaworld+metric_obj,free_space,259,3,0.004691420355811715,0.0032329990062862635,0.01211826410324694,0.00262422968809712,0.02522252837049572,,,,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-pick-place,dino_wm_metaworld+metric_obj,pre_grasp,500,52,0.004691420355811715,0.0037380338180810213,0.09860066191474524,0.06664848619113133,0.14064274833898593,0.4252593437356443,0.35083493012461964,0.507201685388686,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-push,dino_wm_metaworld+metric_obj,contact_manipulation,341,164,0.004691420355811715,0.004475081339478493,0.27288152883250516,0.23378631358710023,0.3130067779082365,0.4758239253499273,0.4077968436231916,0.5474882783662847,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-push,dino_wm_metaworld+metric_obj,free_space,203,0,0.004691420355811715,0.003118466353043914,0.014246824859935742,0.004944868912705251,0.025333795582679997,,,,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-push,dino_wm_metaworld+metric_obj,pre_grasp,596,152,0.004691420355811715,0.003944912925362587,0.2592758942411375,0.18668900426643906,0.34360811616202774,0.7007150179776369,0.5769965157562601,0.7933525956790483,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-reach,dino_wm_metaworld+metric_obj,free_space,1140,38,0.004691420355811715,0.003034877823665738,0.07089375227379913,0.05456749188676744,0.09133125365396474,0.633968036526451,0.5030436617064286,0.7745969924825037,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-stick-pull,dino_wm_metaworld+metric_obj,contact_manipulation,565,122,0.004691420355811715,0.004402455408126116,0.10798365618713521,0.07859213083518637,0.1442951102076718,0.27711084442124834,0.16475583389309134,0.38254382807925036,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-stick-pull,dino_wm_metaworld+metric_obj,free_space,244,31,0.004691420355811715,0.004233466926962137,0.14517180883361427,0.10549467522354923,0.1878359697363741,0.1883077952026834,0.07660213095123135,0.31110931069967523,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-stick-pull,dino_wm_metaworld+metric_obj,pre_grasp,331,51,0.004691420355811715,0.004255674313753843,0.17759230199580742,0.14088495497609685,0.2148917933903529,0.3772077276639311,0.27500480300010227,0.49333079415875536,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-window-close,dino_wm_metaworld+metric_obj,contact_manipulation,195,108,0.004691420355811715,0.004534676671028137,0.5664637989247204,0.4882144015615591,0.6533363338811281,0.794541227241219,0.7091043846098437,0.8739500744728051,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-window-close,dino_wm_metaworld+metric_obj,free_space,491,194,0.004691420355811715,0.0043294550850987434,0.25919134384135634,0.18692365691472906,0.3387952287795292,0.4839428045058747,0.31899359384650705,0.6836697109618467,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-window-close,dino_wm_metaworld+metric_obj,pre_grasp,454,120,0.004691420355811715,0.003035623347386718,0.5329709159129714,0.4186897842923123,0.6590894915174098,1.2172741057840208,1.062710088123237,1.3619161642780704,ok,169.30589294433594,0.12760527431964874,1.0
