task,arm,seed,success,success_end,steps,final_state_dist,ee_dist,state_dist_success,expert_success_step,minutes
mw-push,l2,10014,0,0,100,0.35934252580666787,0.03657844092402374,0,64,1.82
mw-push,l2lora,10014,0,0,100,0.4749653057468129,0.07454071886040778,0,64,2.28
mw-push,l2inv,10014,0,0,100,0.46443681601861264,0.03276312608468953,0,64,1.82
mw-push,l2lorainv,10014,0,0,100,0.44593395718982487,0.052718855118317615,0,64,2.28
mw-push,l2,10015,0,0,100,0.47844214245844663,0.06210844991998931,0,62,1.82
mw-push,l2lora,10015,0,0,100,0.692612683498242,0.045962692726892775,0,62,2.28
mw-push,l2inv,10015,0,0,100,0.534757280117489,0.030679978403459377,0,62,1.82
mw-push,l2lorainv,10015,0,0,100,0.5502593425016098,0.030007148797260307,0,62,2.28
mw-pick-place,l2,10000,0,0,100,0.6917995693630994,0.03683464237640034,0,51,1.82
mw-pick-place,l2lora,10000,0,0,100,0.5792221777113093,0.05318663711839504,0,51,2.28
mw-pick-place,l2inv,10000,0,0,100,0.5820973636729262,0.03215180610524119,0,51,1.82
mw-pick-place,l2lorainv,10000,0,0,100,0.5709813550831281,0.04293866430378368,0,51,2.28
mw-pick-place,l2,10001,0,0,100,0.7123624484111261,0.015094981113061984,0,47,1.82
mw-pick-place,l2lora,10001,0,0,100,0.6693690809764513,0.029780851722497264,0,47,2.28
mw-pick-place,l2inv,10001,0,0,100,0.2647248839534958,0.023055776028211017,1,47,1.82
mw-pick-place,l2lorainv,10001,0,0,100,0.2943464080250084,0.0302728491225121,1,47,2.28
mw-pick-place,l2,10002,0,0,100,0.41725673265247076,0.011652912328091092,0,56,1.82
mw-pick-place,l2lora,10002,0,0,100,0.4541943255891143,0.02432142101708027,0,56,2.28
mw-pick-place,l2inv,10002,0,0,100,0.4197882964277917,0.04683831047520382,0,56,1.82
mw-pick-place,l2lorainv,10002,0,0,100,0.5014832185747478,0.016955696223815823,0,56,2.28
mw-pick-place,l2,10003,0,0,100,0.4089827560999596,0.014340031389959084,0,53,1.82
mw-pick-place,l2lora,10003,0,0,100,0.4680372498125622,0.06541800082548534,0,53,2.28
mw-pick-place,l2inv,10003,0,0,100,0.5065637703183852,0.029276535113996735,0,53,1.82
mw-pick-place,l2lorainv,10003,0,0,100,0.5105004109471412,0.05169762683739349,0,53,2.28
mw-pick-place,l2,10004,0,0,100,0.826801906676949,0.07957978295906558,0,58,1.82
mw-pick-place,l2lora,10004,0,0,100,0.5000813216281432,0.07267345984645568,0,58,2.28
mw-pick-place,l2inv,10004,0,0,100,0.5402789832342625,0.07797435340121579,0,58,1.82
mw-pick-place,l2lorainv,10004,0,0,100,0.5040939943184178,0.08499787537422565,0,58,2.27
mw-pick-place,l2,10005,0,0,100,0.5115760174052475,0.04478887701611369,0,56,1.82
mw-pick-place,l2lora,10005,0,0,100,0.5197655589176291,0.04956163238283548,0,56,2.28
mw-pick-place,l2inv,10005,0,0,100,0.511463351146374,0.026926263438572975,0,56,1.82
mw-pick-place,l2lorainv,10005,0,0,100,0.5199948225033165,0.07285360222489945,0,56,2.28
mw-pick-place,l2,10006,0,0,100,0.4787881993326005,0.04757046651692916,0,59,1.82
mw-pick-place,l2lora,10006,0,0,100,0.831519064022868,0.029898674151830427,0,59,2.28
mw-pick-place,l2inv,10006,0,0,100,0.5157436117472125,0.04967909590212769,0,59,1.82
mw-pick-place,l2lorainv,10006,0,0,100,0.5662048140665418,0.059134136903957406,0,59,2.28
mw-pick-place,l2,10007,0,0,100,0.5530811443116704,0.04481661059055128,0,55,1.81
mw-pick-place,l2lora,10007,0,0,100,0.5588653937450639,0.059273765716349625,0,55,2.28
mw-pick-place,l2inv,10007,0,0,100,0.5318797657122343,0.02178138516180399,0,55,1.82
mw-pick-place,l2lorainv,10007,0,0,100,0.5599345213751475,0.04267965537441035,0,55,2.28
mw-pick-place,l2,10008,0,0,100,0.7310112083995546,0.051368351114966744,0,46,1.82
mw-pick-place,l2lora,10008,0,0,100,0.25710803658997206,0.019240946947708715,1,46,2.28
mw-pick-place,l2inv,10008,0,0,100,0.32156894104162576,0.024266354634955998,0,46,1.82
mw-pick-place,l2lorainv,10008,0,0,100,0.33431688925927505,0.01974013492828976,0,46,2.28
mw-pick-place,l2,10009,0,0,100,0.6666472212049096,0.04921809778835577,0,56,1.82
mw-pick-place,l2lora,10009,0,0,100,0.48426027666706434,0.01548868522620423,0,56,2.28
mw-pick-place,l2inv,10009,0,0,100,0.4847560675365055,0.039262533661997584,0,56,1.82
mw-pick-place,l2lorainv,10009,0,0,100,0.484686428793951,0.026119332376588773,0,56,2.28
mw-pick-place,l2,10010,0,0,100,0.7459421284178437,0.041913311813725686,0,50,1.82
mw-pick-place,l2lora,10010,0,0,100,0.36699294930987275,0.05966366855648704,0,50,2.28
mw-pick-place,l2inv,10010,0,0,100,0.41479332721669065,0.022542999497975634,0,50,1.82
mw-pick-place,l2lorainv,10010,0,0,100,0.4236469180301713,0.033383409077873676,0,50,2.28
mw-pick-place,l2,10011,0,0,100,0.798855562543107,0.03030493464428428,0,56,1.81
mw-pick-place,l2lora,10011,0,0,100,0.4309230015635586,0.06590010958669192,0,56,2.28
mw-pick-place,l2inv,10011,0,0,100,0.48656964633919997,0.01756285031516432,0,56,1.82
mw-pick-place,l2lorainv,10011,0,0,100,0.4187525736420138,0.013773552326168982,0,56,2.28
mw-pick-place,l2,10012,0,0,100,0.5173722579227542,0.0015478024122556639,0,60,1.82
mw-pick-place,l2lora,10012,0,0,100,0.5101026798136647,0.006445388881873786,0,60,2.28
mw-pick-place,l2inv,10012,0,0,100,0.4951740571751636,0.014865235103924256,0,60,1.82
mw-pick-place,l2lorainv,10012,0,0,100,0.5158650758328248,0.015872155419230687,0,60,2.28
mw-pick-place,l2,10013,0,0,100,0.7772829844335437,0.004420092269213545,0,55,1.81
mw-pick-place,l2lora,10013,0,0,100,0.40976323445797314,0.008242659463590837,0,55,2.28
mw-pick-place,l2inv,10013,0,0,100,0.39439030602350744,0.0026341608389144175,0,55,1.82
mw-pick-place,l2lorainv,10013,0,0,100,0.43432075938137826,0.01312802791925185,0,55,2.28
mw-pick-place,l2,10014,0,0,100,0.5175083645538724,0.02008568571550304,0,55,1.82
mw-pick-place,l2lora,10014,0,0,100,0.49051269582416324,0.06273082161063012,0,55,2.28
mw-pick-place,l2inv,10014,0,0,100,0.5151282110497594,0.02900698555664331,0,55,1.82
mw-pick-place,l2lorainv,10014,0,0,100,0.5202483934793253,0.06140309986115401,0,55,2.28
mw-pick-place,l2,10015,0,0,100,0.5326922922253576,0.04368883679976125,0,54,1.82
mw-pick-place,l2lora,10015,0,0,100,0.4391944609651454,0.02148565779921299,0,54,2.28
mw-pick-place,l2inv,10015,0,0,100,0.537462898005656,0.058590408275397916,0,54,1.82
mw-pick-place,l2lorainv,10015,0,0,100,0.5352532231583906,0.04102616167644906,0,54,2.28
