snapshot,arm,anchor_physical_distance_m,anchor_success,inversion_hit,best_corrective_advantage_m,best_any_advantage_m,best_improvement_per_query_m,any_success_gain,selected_success_any,best_selected_distance_m,native_rejected_fraction,auxiliary_prefers_fraction,directional_positive_fraction,mean_crod_score,mean_native_rank_fraction,mean_auxiliary_rank_fraction,mean_action_distance_from_anchor
78,rejected_action_diverse,0.03834775248227389,1,0.0,0.0,0.010362922712251078,0.0012953653390313847,0.0,1.0,0.027984829770022816,1.0,0.25,0.25,0.022120833333333333,0.34458333333333335,0.45416666666666666,6.474852818937143
79,action_diverse,0.03522139524917815,1,0.0,0.0,0.010447504527016559,0.0013059380658770698,0.0,1.0,0.024773890722161594,1.0,0.25,0.25,0.011958333333333338,0.59375,0.6758333333333333,6.9600106714553505
79,crod_directional,0.03522139524917815,1,0.0,0.0,0.011272384242856665,0.0014090480303570832,0.0,1.0,0.023949011006321488,1.0,1.0,1.0,0.2823333333333333,0.8241666666666667,0.05458333333333334,4.876008452229469
79,dino_best_rejected,0.03522139524917815,1,0.0,0.0,0.011272384242856665,0.0014090480303570832,0.0,1.0,0.023949011006321488,1.0,1.0,1.0,0.1837402777777778,0.47375,0.011666666666666667,4.72821650266728
79,native_uncertainty_diverse,0.03522139524917815,1,0.0,0.0,0.00491613132564259,0.0006145164157053237,0.0,1.0,0.030305263923535563,1.0,0.625,0.625,0.07654722222222222,0.6270833333333333,0.42333333333333334,6.32608135590009
79,random_rejected,0.03522139524917815,1,0.0,0.0,0.011007444105363171,0.0013759305131703964,0.0,1.0,0.02421395114381498,1.0,0.375,0.375,0.013770833333333335,0.41208333333333336,0.5404166666666667,4.660067811298852
79,rejected_action_diverse,0.03522139524917815,1,0.0,0.0,0.010447504527016559,0.0013059380658770698,0.0,1.0,0.024773890722161594,1.0,0.25,0.25,0.011958333333333338,0.59375,0.6758333333333333,6.9600106714553505
80,action_diverse,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.375,0.375,0.06625277777777777,0.5491666666666666,0.5291666666666666,5.484303575575783
80,crod_directional,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.35789166666666666,0.8945833333333334,0.06958333333333333,4.666814597991182
80,dino_best_rejected,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.28603055555555557,0.62125,0.011666666666666667,4.801312724664157
80,native_uncertainty_diverse,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,0.25,0.04558333333333334,0.41583333333333333,0.58375,5.007840542994716
80,random_rejected,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.375,0.375,0.03594722222222222,0.6233333333333333,0.5850000000000001,4.504100244207086
80,rejected_action_diverse,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.375,0.375,0.06625277777777777,0.5491666666666666,0.5291666666666666,5.484303575575783
81,action_diverse,0.27822195742971684,0,1.0,0.10526136741123576,0.10526136741123576,0.01315767092640447,0.0,0.0,0.17296059001848108,1.0,0.625,0.625,0.18584444444444445,0.6904166666666667,0.31958333333333333,8.004713156091974
81,crod_directional,0.27822195742971684,0,1.0,0.050835848651534316,0.050835848651534316,0.0063544810814417894,0.0,0.0,0.22738610877818252,1.0,1.0,1.0,0.443225,0.9570833333333334,0.01375,6.288822083595008
81,dino_best_rejected,0.27822195742971684,0,1.0,0.050835848651534316,0.050835848651534316,0.0063544810814417894,0.0,0.0,0.22738610877818252,1.0,1.0,1.0,0.42065972222222225,0.9045833333333333,0.011666666666666667,6.546807189940513
81,native_uncertainty_diverse,0.27822195742971684,0,1.0,0.10526136741123576,0.10526136741123576,0.01315767092640447,0.0,0.0,0.17296059001848108,1.0,0.625,0.625,0.1745625,0.7791666666666668,0.35375,7.770720276327152
81,random_rejected,0.27822195742971684,0,1.0,0.03201953733214946,0.03201953733214946,0.004002442166518683,0.0,0.0,0.24620242009756738,1.0,0.5,0.5,0.0423875,0.3833333333333333,0.48041666666666666,6.053782891861572
81,rejected_action_diverse,0.27822195742971684,0,1.0,0.10526136741123576,0.10526136741123576,0.01315767092640447,0.0,0.0,0.17296059001848108,1.0,0.625,0.625,0.18584444444444445,0.6904166666666667,0.31958333333333333,8.004713156091974
82,action_diverse,1.1846647526726074e-05,1,0.0,0.0,0.0,0.0,0.0,1.0,1.1846647526726074e-05,1.0,0.25,0.25,0.021487500000000003,0.59875,0.6104166666666666,6.285745160265822
82,crod_directional,1.1846647526726074e-05,1,0.0,0.0,0.0,0.0,0.0,1.0,1.1846647526726074e-05,1.0,1.0,1.0,0.2870138888888889,0.8604166666666667,0.03875,5.206114214278143
82,dino_best_rejected,1.1846647526726074e-05,1,0.0,0.0,0.0,0.0,0.0,1.0,1.1846647526726074e-05,1.0,1.0,1.0,0.22412083333333332,0.6179166666666667,0.011666666666666667,5.264987517129464
82,native_uncertainty_diverse,1.1846647526726074e-05,1,0.0,0.0,0.0,0.0,0.0,1.0,1.1846647526726074e-05,1.0,0.375,0.375,0.02966527777777778,0.3358333333333333,0.50625,5.820949461237182
82,random_rejected,1.1846647526726074e-05,1,0.0,0.0,0.0,0.0,0.0,1.0,1.1846647526726074e-05,1.0,0.625,0.625,0.03301944444444445,0.39375,0.39416666666666667,5.322167571387821
82,rejected_action_diverse,1.1846647526726074e-05,1,0.0,0.0,0.0,0.0,0.0,1.0,1.1846647526726074e-05,1.0,0.25,0.25,0.021487500000000003,0.59875,0.6104166666666666,6.285745160265822
83,action_diverse,0.026529625226145766,1,0.0,0.0,0.0010421172145361896,0.0001302646518170237,0.0,1.0,0.025487508011609577,1.0,0.125,0.125,0.003269444444444444,0.6104166666666666,0.42833333333333334,7.017299454469445
83,crod_directional,0.026529625226145766,1,0.0,0.0,0.0014607216339199806,0.00018259020423999758,0.0,1.0,0.025068903592225786,1.0,1.0,1.0,0.03679444444444444,0.6125,0.028333333333333335,4.962522742068928
