tag,task,seed,replan,phase,rho,recall,r_sel_cm,n
dino_push_l2,mw-push,41008,0,init,0.7677047704770477,0.6,0.0,100
dino_push_l2,mw-push,41008,0,final,0.034515451545154514,0.0,0.0,100
dino_push_l2,mw-push,41008,1,init,0.3761296129612961,0.1,0.45836567878723145,100
dino_push_l2,mw-push,41008,1,final,-0.2498529852985298,0.0,0.0,100
dino_push_l2,mw-push,41008,2,init,-0.16010801080108011,0.0,0.2021878957748413,100
dino_push_l2,mw-push,41008,2,final,-0.36895289528952896,0.0,0.0,100
dino_push_l2,mw-push,41008,3,init,-0.4697269726972697,0.0,0.0,100
dino_push_l2,mw-push,41008,3,final,-0.4945934593459345,0.0,0.0,100
dino_push_l2,mw-push,41008,4,init,0.14673867386738673,0.0,0.0,100
dino_push_l2,mw-push,41008,4,final,-0.33034503450345026,0.0,0.0,100
dino_push_l2,mw-push,41008,5,init,-0.2576177617761776,0.0,0.0,100
dino_push_l2,mw-push,41008,5,final,-0.03791179117911791,0.0,0.0,100
dino_push_l2,mw-push,41008,6,init,-0.29178517851785174,0.0,0.0,100
dino_push_l2,mw-push,41008,6,final,0.12397239723972396,0.0,0.0,100
dino_push_l2,mw-push,41009,0,init,0.42373837383738366,0.3,0.0,100
dino_push_l2,mw-push,41009,0,final,-0.014653465346534651,0.0,0.0,100
dino_push_l2,mw-push,41009,1,init,0.25000900090009,0.0,0.0,100
dino_push_l2,mw-push,41009,1,final,-0.24678067806780676,0.0,0.0,100
dino_push_l2,mw-push,41009,2,init,-0.25827782778277825,0.0,0.0,100
dino_push_l2,mw-push,41009,2,final,0.10648664866486647,0.0,0.0,100
dino_push_l2,mw-push,41009,3,init,-0.6132253225322531,0.0,0.0,100
dino_push_l2,mw-push,41009,3,final,0.358007800780078,0.0,0.0,100
dino_push_l2,mw-push,41009,4,init,0.6175097509750975,0.2,0.0,100
dino_push_l2,mw-push,41009,4,final,0.03350735073507351,0.0,0.0,100
dino_push_l2,mw-push,41009,5,init,0.8193699369936993,0.6,0.0,100
dino_push_l2,mw-push,41009,5,final,0.04794479447944794,0.1,0.0,100
dino_push_l2,mw-push,41009,6,init,0.6837323732373236,0.2,0.0,100
dino_push_l2,mw-push,41009,6,final,0.020942094209420937,0.0,0.0,100
dino_push_l2,mw-push,41010,0,init,0.5691569156915691,0.1,0.0,100
dino_push_l2,mw-push,41010,0,final,-0.35890789078907887,0.0,0.0,100
dino_push_l2,mw-push,41010,1,init,0.13606960696069606,0.2,0.0,100
dino_push_l2,mw-push,41010,1,final,-0.5518511851185118,0.0,0.0,100
dino_push_l2,mw-push,41010,2,init,-0.31495949594959494,0.0,0.0,100
dino_push_l2,mw-push,41010,2,final,0.3258805880588058,0.0,0.0,100
dino_push_l2,mw-push,41010,3,init,0.05020102010201019,0.0,0.0,100
dino_push_l2,mw-push,41010,3,final,0.2294269426942694,0.0,0.0,100
dino_push_l2,mw-push,41010,4,init,0.8277227722772277,0.4,0.0,100
dino_push_l2,mw-push,41010,4,final,0.06813081308130813,0.0,0.0,100
dino_push_l2,mw-push,41010,5,init,0.8228742874287428,0.5,0.0,100
dino_push_l2,mw-push,41010,5,final,-0.10255025502550254,0.0,0.0,100
dino_push_l2,mw-push,41010,6,init,0.5104950495049504,0.0,0.0,100
dino_push_l2,mw-push,41010,6,final,0.23053774538881253,0.0,0.0,100
dino_push_l2,mw-push,41011,0,init,0.7926432643264325,0.3,0.0,100
dino_push_l2,mw-push,41011,0,final,0.10156615661566157,0.0,0.0,100
dino_push_l2,mw-push,41011,1,init,0.39852385238523846,0.0,1.1527091264724676,100
dino_push_l2,mw-push,41011,1,final,-0.1686408640864086,0.0,1.541648805141449,100
dino_push_l2,mw-push,41011,2,init,-0.19434743474347435,0.0,0.0,100
dino_push_l2,mw-push,41011,2,final,0.051101110111011094,0.1,0.0,100
dino_push_l2,mw-push,41011,3,init,-0.5460186018601859,0.0,0.0,100
