snapshot,population,spearman_learned_true_latent,spearman_true_latent_physical,spearman_learned_physical,top10pct_recall_true_latent,top10pct_recall_physical,false_elite_rate_physical,dynamics_selection_regret_latent,representation_selection_regret_m,end_to_end_selection_regret_m,selected_physical_distance_m,latent_selected_physical_distance_m,oracle_physical_distance_m,candidate_headroom_m,start_physical_distance_m,oracle_improvement_m,selected_success,latent_selected_success,oracle_candidate_success,representation_success_gap,end_to_end_success_gap
13,final,0.0632553695041056,0.6238958210646784,0.12655429504772273,0.03333333333333333,0.1,0.4,82.5009765625,0.0,0.01636880441184991,0.03023419365069013,0.01386538923884022,0.01386538923884022,0.01115453900210531,0.0293851467338861,0.015519757495045878,1.0,1.0,1.0,0.0,0.0
13,initial,0.18707274525272505,0.5043016033511483,0.16017911310125665,0.06666666666666667,0.16666666666666666,0.4,161.99652099609375,0.02181787561915931,0.01078115641880455,0.016595954224251603,0.027632673424606364,0.005814797805447052,0.020363800474654283,0.0293851467338861,0.023570348928439046,1.0,1.0,1.0,0.0,0.0
14,final,0.021970910787897643,0.9614457938421537,-0.009624551383904265,0.13333333333333333,0.06666666666666667,0.4666666666666667,21.02879524230957,0.011664141463700536,0.01608590585512842,0.037782255777349505,0.03336049138592162,0.021696349922221084,0.21689341806124346,0.23858976798436787,0.2168934180621468,1.0,1.0,1.0,0.0,0.0
14,initial,0.7221760241780464,0.16421871354126155,0.08193824375826397,0.4,0.2,0.3,44.87664794921875,0.0,0.06746504031124348,0.23858976798110276,0.17112472766985928,0.17112472766985928,0.06746504031710274,0.23858976798436787,0.06746504031450859,0.0,0.0,0.0,0.0,0.0
15,final,-0.014112156801742241,0.003015450533379068,0.025618401002880976,0.06666666666666667,0.03333333333333333,0.3,10.605178833007812,0.0,0.0,0.030426542958135898,0.030426542958135898,0.030426542958135898,0.0,0.03042654295845167,3.157717143320582e-13,1.0,1.0,1.0,0.0,0.0
15,initial,0.1692872143023811,0.05484004108593706,0.17427985787101719,0.13333333333333333,0.16666666666666666,0.3,47.39418029785156,5.843277250949797e-13,5.458480889508621e-14,0.030426542958190483,0.030426542958720226,0.030426542958135898,5.326052099352552e-13,0.03042654295845167,3.157717143320582e-13,1.0,1.0,1.0,0.0,0.0
16,final,0.023224258047311635,-0.41418237980421996,-0.045692507694529934,0.13333333333333333,0.1,0.5333333333333333,37.460601806640625,0.0,0.17989545579319688,0.22982900862555694,0.049933552832360055,0.049933552832360055,0.1975131548463674,0.20959057289246374,0.15965702006010368,0.0,0.0,0.0,0.0,0.0
16,initial,-0.0213433482594251,-0.14124023600262225,-0.06349314992388803,0.1,0.06666666666666667,0.6333333333333333,69.64480590820312,0.1050300395483069,0.0906529047178699,0.1785560588268785,0.1929331936573155,0.0879031541090086,0.1215029764373438,0.20959057289246374,0.12168741878345514,0.0,0.0,0.0,0.0,0.0
17,final,-0.05294881642560688,-0.2255185057611751,0.02953055362065748,0.13333333333333333,0.16666666666666666,0.36666666666666664,79.56854248046875,0.1252621056885079,0.14912974585408006,0.17751991436385825,0.1536522741982861,0.028390168509778196,0.09693313316242282,0.31055538392862786,0.28216521541884965,0.0,0.0,1.0,1.0,1.0
17,initial,0.09086278736430403,-0.302994477716419,0.29764997388859876,0.13333333333333333,0.2,0.26666666666666666,80.65853881835938,0.22935604832998668,0.07377586203625913,0.10963425882615219,0.26521444511987974,0.035858396789893054,0.14130825284520288,0.31055538392862786,0.2746969871387348,0.0,0.0,1.0,1.0,1.0
18,final,0.06887409860109557,0.7591244347159413,0.026365626284736494,0.0,0.06666666666666667,0.6,32.47034454345703,0.010488767118278113,0.01946300259156529,0.038013878839405046,0.02903964336611787,0.018550876247839757,0.01898546192526262,0.23329321813737824,0.2147423418895385,1.0,1.0,1.0,0.0,0.0
18,initial,0.6669367437415971,0.18128379204213377,0.21754463938488203,0.36666666666666664,0.23333333333333334,0.4,125.32537841796875,0.07889871871695961,0.07463042732413391,0.2336908692195303,0.237959160612356,0.1590604418953964,0.07339137285070871,0.23329321813737824,0.07423277624198185,0.0,0.0,0.0,0.0,0.0
