has_matched_proxy_rejected_hard_control,has_strong_inversion,matched_control_regret_gap_m,n_candidates,n_proxy_good_physical_bad,n_strong_inversion_pairs,pool_best_physical_distance_m,pool_success_available,snapshot,source,strongest_inversion_deceptive_regret_m,strongest_inversion_physical_margin_m,strongest_inversion_proxy_rank_margin,strongest_inversion_score_rank_m,proxy_good_physical_good,proxy_good_physical_bad,proxy_bad_physical_good,proxy_bad_physical_bad
True,True,0.00019031639309467774,300,25,951,0.005433852155042182,1,21,cem_initial,0.08879451483174652,0.08521708449192833,0.8795986622073578,0.07495683351631154,5,25,26,244
False,False,,300,0,0,0.014315792771166947,1,22,cem_final,,,,,30,0,270,0
True,True,1.4605535869911812e-05,300,14,90,0.009229809625173844,1,22,cem_initial,0.030645683143739826,0.028366435939004425,0.7391304347826086,0.020966496128829358,16,14,107,163
True,True,1.4520849076840592e-05,300,27,1214,0.008005559779910059,1,23,cem_final,0.060299022959652074,0.05325967419995978,0.9431438127090301,0.050231532188590826,3,27,43,227
True,True,0.0002892063277920853,300,29,2555,0.0023600025704986877,1,23,cem_initial,0.20218979889059613,0.199088322637335,0.7625418060200668,0.15181316910137918,1,29,8,262
True,True,6.426142352013858e-05,300,1,2,0.018712275920704194,1,24,cem_final,0.02127346624556624,0.02127346624556624,0.44816053511705684,0.009533928016407612,29,1,256,14
True,True,0.003756243226922168,300,20,433,0.012465123977846215,1,24,cem_initial,0.05842063497574147,0.05166817422070427,0.8862876254180602,0.04579286343975462,10,20,87,183
True,True,5.03946901743435e-06,300,10,241,0.004841972268118042,1,25,cem_final,0.03414503213038045,0.03392294153983518,0.9063545150501672,0.030746211228412486,20,10,132,138
True,True,0.0011556801478883882,300,14,919,0.009219978816887797,1,25,cem_initial,0.09592117611352839,0.08119986305835754,0.8963210702341138,0.07278114815933051,16,14,67,203
False,False,,300,0,0,1.9648904290461352e-15,1,26,cem_final,,,,,30,0,270,0
False,False,,300,0,0,1.9648904290461352e-15,1,26,cem_initial,,,,,30,0,270,0
False,False,,300,0,0,0.2987620394049292,0,27,cem_final,,,,,30,0,270,0
True,True,0.0006727224922121189,300,30,663,0.25098575500496795,0,27,cem_initial,0.06961771046888438,0.06054883618414297,0.9966555183946488,0.060346331715299684,0,30,5,265
True,True,2.1159505866896744e-07,300,27,799,0.021258137689552,1,28,cem_final,0.09655654252985577,0.09038424567872486,0.9297658862876255,0.0840361882899181,3,27,27,243
True,True,2.121539273813866e-06,300,26,395,0.03365836027118907,1,28,cem_initial,0.09635503646364996,0.09143271329667144,0.7391304347826088,0.06758070113232237,4,26,2,268
True,True,0.0,300,18,2108,0.019216753832184623,1,29,cem_final,0.21087284377781826,0.20820479803474173,0.9732441471571907,0.20263410109735736,12,18,106,164
True,True,0.0003022367586890118,300,29,386,0.09502980744337604,0,29,cem_initial,0.14460189152515485,0.054303631746235315,0.8829431438127091,0.04794701933446864,1,29,0,270
True,True,0.005070224545058566,300,30,2923,0.07543424674180903,0,30,cem_final,0.31972835175617104,0.287281614954316,0.802675585284281,0.23059393842486903,0,30,1,269
True,True,0.00025336249230753505,300,30,3330,0.03653566092834341,1,30,cem_initial,0.20557542993465577,0.20242463601599084,0.8795986622073579,0.17805243903747692,0,30,7,263
True,True,5.383288865706132e-05,300,15,247,0.004519759506234401,1,31,cem_final,0.03248033682143591,0.031641065165059566,0.9063545150501672,0.0286780222733483,15,15,91,179
True,True,0.00017304123278931438,300,24,1045,0.00785171215319763,1,31,cem_initial,0.07994579874179454,0.06686578268823615,0.9130434782608696,0.061051366802302574,6,24,32,238
