snapshot,source,n_candidates,selected_candidate,selected_physical_distance_m,selected_physical_regret_m,selected_physical_rank_fraction,selected_success,selected_verified_inversion,physical_oracle_distance_m,physical_oracle_success,elite_mean_physical_regret_m,nonelite_mean_physical_regret_m,elite_excess_regret_m,elite_false_rate_above_physical_median,elite_physical_top_recall,proxy_physical_inversion_fraction
21,cem_final,300,301,0.029560826495035816,0.02675280578886738,0.7023411371237458,1,1,0.002808020706168439,1,0.02211864372580628,0.02373699688657343,-0.001618353160767149,0.36666666666666664,0.1,0.46590858416945374
22,cem_initial,300,252,0.02012521904545356,0.010895409420279717,0.09364548494983277,1,0,0.009229809625173844,1,0.019280501621178565,0.02201543597641434,-0.002734934355235776,0.43333333333333335,0.23333333333333334,0.47444816053511707
22,cem_final,300,300,0.016368660713256426,0.0020528679420894792,0.5919732441471572,1,0,0.014315792771166947,1,0.0018173429908167858,0.002003611392446939,-0.00018626840163015303,0.4,0.1,0.48066889632107024
23,cem_initial,300,184,0.11872102248401281,0.11636101991351412,0.7391304347826086,0,1,0.0023600025704986877,1,0.08005280663375013,0.099802757378993,-0.01974995074524287,0.4,0.13333333333333333,0.44033444816053513
23,cem_final,300,597,0.03803327921260395,0.030027719432693892,0.44481605351170567,1,1,0.008005559779910059,1,0.034042878771374976,0.03523336201661576,-0.0011904832452407851,0.5333333333333333,0.1,0.4977926421404682
24,cem_initial,300,106,0.03141005978446788,0.01894493580662166,0.2608695652173913,1,0,0.012465123977846215,1,0.02382448946310198,0.023362226329134303,0.0004622631339676782,0.5666666666666667,0.03333333333333333,0.4902118171683389
24,cem_final,300,300,0.03730504110035876,0.018592765179654566,0.5117056856187291,1,0,0.018712275920704194,1,0.018607876411177206,0.01855455031615544,5.3326095021764136e-05,0.5,0.16666666666666666,0.48307692307692307
25,cem_initial,300,123,0.030975998359261563,0.021756019542373765,0.2976588628762542,1,1,0.009219978816887797,1,0.023744934091526573,0.04303294422828979,-0.01928801013676322,0.26666666666666666,0.3333333333333333,0.3988405797101449
25,cem_final,300,300,0.03898700439849849,0.03414503213038045,0.9698996655518395,1,1,0.004841972268118042,1,0.01768944484065486,0.02021470277359028,-0.0025252579329354194,0.36666666666666664,0.1,0.49516164994425865
26,cem_initial,300,145,1.9648904290461352e-15,0.0,0.48494983277591974,1,0,1.9648904290461352e-15,1,0.0,0.0,0.0,0.0,0.06666666666666667,nan
26,cem_final,300,478,1.9648904290461352e-15,0.0,0.5953177257525084,1,0,1.9648904290461352e-15,1,0.0,0.0,0.0,0.0,0.06666666666666667,nan
27,cem_initial,300,219,0.3206034654738523,0.06961771046888438,0.9832775919732442,0,1,0.25098575500496795,0,0.05045305491651695,0.04892831894636182,0.0015247359701551291,0.4,0.06666666666666667,0.5047766069311139
27,cem_final,300,324,0.30182622345557597,0.00306418405064679,0.8327759197324415,0,0,0.2987620394049292,0,0.003000105200824508,0.0028024148032931746,0.0001976903975313333,0.16666666666666666,0.03333333333333333,0.4816495395702656
28,cem_initial,300,123,0.06805568536617598,0.034397325094986914,0.023411371237458192,0,1,0.03365836027118907,1,0.06623294531907763,0.09126598882728305,-0.025033043508205427,0.23333333333333334,0.43333333333333335,0.36624303232998884
28,cem_final,300,300,0.11781468021940776,0.09655654252985577,0.5083612040133779,0,1,0.021258137689552,1,0.08818272292669822,0.08818269907985826,2.38468399610392e-08,0.5666666666666667,0.1,0.4897658862876254
29,cem_initial,300,212,0.22739467929686777,0.13236487185349172,0.45484949832775917,0,1,0.09502980744337604,0,0.12262901300485884,0.13281099435719296,-0.010181981352334113,0.3333333333333333,0.13333333333333333,0.4299315480835693
29,cem_final,300,300,0.2276513853138961,0.20843463148171146,0.5819397993311036,0,1,0.019216753832184623,1,0.1234245965525365,0.12607256844383052,-0.0026479718912940237,0.4666666666666667,0.13333333333333333,0.461982762510717
30,cem_initial,300,124,0.1540688110786931,0.11753315015034971,0.4682274247491639,0,1,0.03653566092834341,1,0.12535739195755252,0.12667180660041036,-0.0013144146428578363,0.5,0.1,0.5457302118171683
30,cem_final,300,556,0.1933976938462197,0.11796344710441066,0.23745819397993312,0,1,0.07543424674180903,0,0.15712192697046057,0.17962505399013703,-0.022503127019676467,0.4666666666666667,0.1,0.5267781493868451
31,cem_initial,300,94,0.03873285129591195,0.03088113914271432,0.3277591973244147,1,1,0.00785171215319763,1,0.034044628370919386,0.05438556096464593,-0.020340932593726546,0.26666666666666666,0.13333333333333333,0.3911036789297659
31,cem_final,300,378,0.027108696929032325,0.022588937422797925,0.48494983277591974,1,1,0.004519759506234401,1,0.018936064437142613,0.0229350823173881,-0.003999017880245488,0.3333333333333333,0.23333333333333334,0.4879598662207358
